,COVID-19 doses (daily),Daily new confirmed deaths due to COVID-19
219,514150.392825,518559.2
220,437728.1,1050255.2999999998
221,375030.94,488828.48
222,410877.78,340866.27
223,490615.28,449417.98
224,462431.28,504039.5
225,514150.392825,591848.9
226,514150.392825,603602.95
227,514150.392825,600837.3
228,364390.4,636099.3
229,408339.1,474308.82
230,514150.392825,431441.25
231,514150.392825,509570.83999999997
232,514150.392825,747416.7000000001
233,514150.392825,683115.2999999999
234,316408.44,651310.3999999999
235,313128.12,686572.4
236,261409.2,540684.3999999999
237,514150.392825,400327.7
238,514150.392825,501965.34
239,514150.392825,771616.1
240,514150.392825,643013.3999999999
241,514150.392825,650619.0
242,294622.53,855277.0
243,322723.2,659607.3
244,514150.392825,573180.8
246,514150.392825,581477.7
247,514150.392825,826237.7
248,514150.392825,743268.2000000001
249,502558.84,608442.7999999999
250,424122.84,553129.85
251,514150.392825,524090.5
252,514150.392825,593231.74
253,514150.392825,761244.9
254,514150.392825,658224.46
255,514150.392825,1054403.8
256,514150.392825,795815.5
258,514150.392825,472234.58
259,514150.392825,419687.24
260,514150.392825,635407.87
261,514150.392825,730822.8
262,514150.392825,838683.07
263,514150.392825,684498.13
264,514150.392825,468086.12
265,514150.392825,467394.7
266,514150.392825,506805.19999999995
267,514150.392825,663755.8
268,514150.392825,744651.0
269,514150.392825,553821.2000000001
270,514150.392825,549672.7999999999
271,514150.392825,441812.46
272,514150.392825,422452.9
273,514150.392825,478457.3
274,514150.392825,622271.0599999999
275,514150.392825,666521.4299999999
276,514150.392825,530313.2000000001
277,514150.392825,606368.5399999999
278,514150.392825,564883.8
279,514150.392825,397562.06
280,514150.392825,415538.8
281,514150.392825,593923.1499999999
282,514150.392825,466703.3
283,514150.392825,542758.64
284,514150.392825,454949.3
285,514150.392825,342249.07
286,514150.392825,254439.69999999998
287,514150.392825,383042.4
288,514150.392825,457023.53
290,514150.392825,349854.62
291,514150.392825,416921.62
292,514150.392825,253056.87999999998
293,514150.392825,255131.12999999998
294,514150.392825,325655.19999999995
295,514150.392825,434206.9
296,514150.392825,324272.36
297,514150.392825,391339.36000000004
298,514150.392825,282096.2
299,514150.392825,271033.6
300,514150.392825,191521.2
301,514150.392825,221251.93000000002
302,514150.392825,335334.96
303,514150.392825,304221.39999999997
304,514150.392825,305604.22
306,514150.392825,176310.14
307,514150.392825,210880.74000000002
308,514150.392825,284170.45
309,514150.392825,311135.52999999997
310,514150.392825,281404.8
311,514150.392825,230240.28999999998
312,514150.392825,193595.44
313,514150.392825,156259.18
314,514150.392825,171470.24
315,514150.392825,134825.40000000002
317,514150.392825,261353.85
318,514150.392825,206040.86
320,514150.392825,137591.05
321,514150.392825,150727.88
322,514150.392825,154184.94
323,514150.392825,179075.78
325,514150.392825,152110.69999999998
326,514150.392825,139665.28
327,514150.392825,110625.97
328,514150.392825,147270.81
329,514150.392825,115465.84999999999
330,514150.392825,126528.43999999999
331,514150.392825,228166.06
333,514150.392825,141048.1
334,514150.392825,99563.37
335,514150.392825,120305.73999999999
337,514150.392825,151419.28
338,514150.392825,172853.07
340,514150.392825,116848.68
341,514150.392825,85043.70999999999
342,514150.392825,100946.195
343,514150.392825,114083.03
344,514150.392825,112008.79
345,514150.392825,128602.68
347,514150.392825,118231.5
348,514150.392825,94032.06999999999
351,514150.392825,113391.615
352,514150.392825,123071.39
353,514150.392825,127219.85999999999
355,514150.392825,104403.26
357,514150.392825,98180.55
358,514150.392825,107860.31
360,514150.392825,132059.74000000002
361,514150.392825,85735.12
362,514150.392825,80895.23999999999
363,514150.392825,109243.14
364,514150.392825,89192.18
369,514150.392825,70524.05
370,514150.392825,106477.48999999999
371,514150.392825,94723.485
373,514150.392825,111317.374
374,514150.392825,150036.47
375,514150.392825,86426.534
376,514150.392825,67066.99
377,514150.392825,95414.89
378,514150.392825,75363.94
380,514150.392825,101637.59999999999
382,514150.392825,87117.95
383,514150.392825,105094.664
384,514150.392825,120997.146
385,514150.392825,102329.01599999999
388,514150.392825,89883.59599999999
391,514150.392825,83660.886
392,514150.392825,199126.74
393,514150.392825,136899.63999999998
395,514150.392825,142430.93000000002
397,514150.392825,96797.72
401,514150.392825,166630.36000000002
402,514150.392825,203966.62
403,514150.392825,183224.26
407,514150.392825,237154.41
408,514150.392825,201200.98
409,514150.392825,531696.0
411,514150.392825,188064.13999999998
412,514150.392825,185989.90000000002
413,514150.392825,247525.6
415,514150.392825,310444.12
416,514150.392825,228857.46000000002
417,514150.392825,262736.68
419,514150.392825,200509.56
421,514150.392825,240611.47999999998
422,514150.392825,264119.48000000004
424,514150.392825,270342.19999999995
426,514150.392825,216412.04
427,514150.392825,236463.0
428,514150.392825,268267.96
429,514150.392825,213646.4
432,514150.392825,220560.52000000002
433,514150.392825,203275.19999999998
435,514150.392825,369214.15
436,514150.392825,271725.02999999997
437,514150.392825,251674.05999999997
438,514150.392825,293158.8
439,514150.392825,194286.85
440,514150.392825,170778.83
441,514150.392825,322889.54
442,514150.392825,406550.39999999997
443,514150.392825,301455.77
444,514150.392825,291775.97
446,514150.392825,248217.0
447,514150.392825,132751.15000000002
448,514150.392825,283479.03
449,514150.392825,313901.2
450,514150.392825,177692.94999999998
451,514150.392825,445269.5
452,514150.392825,338792.03
453,514150.392825,365757.1
455,514150.392825,246142.77000000002
457,514150.392825,173544.48
460,514150.392825,103711.84
461,514150.392825,105786.08
465,514150.392825,733588.46
466,514150.392825,68449.81999999999
467,514150.392825,45633.21
470,514150.392825,59461.456000000006
471,514150.392825,64301.34
472,514150.392825,47707.446
473,514150.392825,49090.274000000005
474,514150.392825,17285.308
475,514150.392825,36644.85
476,514150.392825,23508.018
477,514150.392825,20742.368000000002
479,514150.392825,52547.332
480,514150.392825,92649.244
481,514150.392825,15211.07
483,514150.392825,12445.421
485,514150.392825,13136.833
486,514150.392825,29039.316
489,514150.392825,118922.91
490,514150.392825,13828.246000000001
491,514150.392825,9679.771999999999
492,514150.392825,33187.788
493,514150.392825,15902.481999999998
494,514150.392825,56004.394
495,514150.392825,8296.947
497,514150.392825,24890.842
499,514150.392825,4839.8859999999995
500,514150.392825,6914.1230000000005
501,514150.392825,51164.507999999994
502,514150.392825,11062.597
503,514150.392825,62227.104
504,514150.392825,6222.7105
505,514150.392825,22125.194
506,514150.392825,11754.009
508,514150.392825,35262.026000000005
509,514150.392825,5531.2985
511,514150.392825,26965.078
513,514150.392825,14519.658
514,514150.392825,57387.21799999999
515,514150.392825,38027.674
517,514150.392825,18668.132
518,514150.392825,27656.492000000002
521,514150.392825,1382.8246
522,514150.392825,31113.552
523,514150.392825,3457.0615000000003
527,514150.392825,69141.23
529,514150.392825,76055.34999999999
533,514150.392825,21433.78
538,514150.392825,8988.36
540,514150.392825,31804.963999999996
541,514150.392825,40101.912000000004
543,514150.392825,24199.43
546,514150.392825,19359.543999999998
547,514150.392825,37336.264
548,514150.392825,29730.728000000003
